Parameter,Estimate,Std. error,95% CI
Intercept,-0.1,0.083,"(-0.263, 0.063)"
black,0.102,0.063,"(-0.018, 0.221)"
gray,0.002,0.061,"(-0.117, 0.127)"
white,0.05,0.054,"(-0.059, 0.156)"
brown,0.066,0.058,"(-0.048, 0.18)"
red,0.064,0.059,"(-0.05, 0.179)"
orange,0.074,0.055,"(-0.035, 0.183)"
yellow,-0.129,0.06,"(-0.246, -0.015)"
green,-0.083,0.084,"(-0.254, 0.083)"
blue,0.084,0.073,"(-0.062, 0.224)"
pink,-0.347,0.161,"(-0.656, -0.026)"
purple,0.089,0.104,"(-0.114, 0.291)"
