Parameter,Estimate,Std. error,95% CI
Intercept,-0.119,0.057,"(-0.234, -0.008)"
eyespot,0.13,0.099,"(-0.063, 0.317)"
checker,-0.057,0.179,"(-0.41, 0.295)"
tail,0.163,0.081,"(0.004, 0.321)"
band_stripe,0.097,0.061,"(-0.024, 0.218)"
spot,0.15,0.063,"(0.026, 0.278)"
