Parameter,Estimate,Std. error,95% CI
Hesperiidae,-0.061,0.048,"(-0.155, 0.033)"
Lycaenidae,0.19,0.058,"(0.077, 0.302)"
Nymphalidae,0.178,0.042,"(0.094, 0.26)"
Papilionidae,0.191,0.101,"(-0.006, 0.392)"
Pieridae,-0.318,0.072,"(-0.455, -0.174)"
